outlet_name_mbfc,url_mbfc,bias_mbfc,factual_reporting_mbfc,country_mbfc,credibility_mbfc,url_cleaned
ESPN,https://mediabiasfactcheck.com/espn,Center-Left,High,US,High,espn.com
Esquire Magazine,https://mediabiasfactcheck.com/esquire-magazine,Left,Mixed,US,Medium,esquire.com
Ethics & Religious Liberty Commission,https://mediabiasfactcheck.com/ethics-religious-liberty-commission-erlc,Right,Mixed,US,Medium,erlc.com
Ethics and Public Policy Center (EPPC,https://mediabiasfactcheck.com/ethics-public-policy-center-eppc,Right,Mixed,US,Medium,eppc.org
Ethnikos Kyrix,https://mediabiasfactcheck.com/ethnikos-kyrix,Center-Right,Mixed,US,Medium,ekirikas.com
Eugene Register-Guard,https://mediabiasfactcheck.com/eugene-register-guard,Center-Left,High,US,High,registerguard.com
Eugenics.News,https://mediabiasfactcheck.com/eugenics-news,Conspiracy-Pseudoscience,Very Low,US,Low,eugenics.news
Eurasia Group,https://mediabiasfactcheck.com/eurasia-group,Center-Left,High,US,High,eurasiagroup.net
Eurasia Review,https://mediabiasfactcheck.com/eurasia-review,Center,High,US,High,eurasiareview.com
EurekaAlert,https://mediabiasfactcheck.com/eurekaalert,Pro-Science,Very High,US,High,eurekalert.org
Europe Reloaded,https://mediabiasfactcheck.com/europe-reloaded,Conspiracy-Pseudoscience,Low,US,Low,europereloaded.com
Evansville Courier & Press,https://mediabiasfactcheck.com/evansville-courier-press-bias,Center-Left,High,US,High,courierpress.com
Every CRS Report,https://mediabiasfactcheck.com/every-crs-report,Center,Very High,US,High,everycrsreport.com
Every Legal Vote,https://mediabiasfactcheck.com/every-legal-vote,Questionable,Low,US,Low,everylegalvote.com
Everyday Feminism,https://mediabiasfactcheck.com/everyday-feminism,Left,Mixed,US,Medium,everydayfeminism.com
Everyday for Gun Safety,https://mediabiasfactcheck.com/everytown-for-gun-safety,Questionable,Mixed,US,Low,everytown.org
Everyday Health,https://mediabiasfactcheck.com/everyday-health-science-credible,Pro-Science,High,US,High,everydayhealth.com
Evidence for God from Science,https://mediabiasfactcheck.com/evidence-for-god-from-science,Conspiracy-Pseudoscience,Low,US,Low,godandscience.org
Evil.News,https://mediabiasfactcheck.com/evil-news,Questionable,Low,US,Low,evil.news
Evolution News and Science Today,https://mediabiasfactcheck.com/evolution-news-and-views,Conspiracy-Pseudoscience,Low,US,Low,evolutionnews.org
Evonomics,https://mediabiasfactcheck.com/evonomics,Left,High,US,High,evonomics.com
Experience Awareness (AbcBusinessNews.com,https://mediabiasfactcheck.com/experience-awareness-abcbusinessnews-com,Questionable,Mixed,US,Low,abcbusinessnews.com
ExtraNewsFeed,https://mediabiasfactcheck.com/extranewsfeed,Left,Mostly Factual,US,Medium,extranewsfeed.com
Facebook News,https://mediabiasfactcheck.com/facebook-news,Center-Left,Mostly Factual,US,High,facebook.com/news
Fact/Myth,https://mediabiasfactcheck.com/factmyth,Center-Left,High,US,High,factmyth.com
FactCheck.org,https://mediabiasfactcheck.com/factcheck,Center,Very High,US,High,factcheck.org
Facts and Logic about the Middle East,https://mediabiasfactcheck.com/facts-and-logic-about-the-middle-east-flame,Right,Mixed,US,Medium,factsandlogic.org
Fair Observer,https://mediabiasfactcheck.com/fair-observer,Center-Left,High,US,High,fairobserver.com
Fairborn Daily Herald,https://mediabiasfactcheck.com/fairborn-daily-herald-bias,Center-Right,High,US,High,fairborndailyherald.com
Fairness and Accuracy in Reporting,https://mediabiasfactcheck.com/fairness-accuracy-in-reporting-fair,Center-Left,High,US,High,fair.org
FairVote,https://mediabiasfactcheck.com/fairvote,Center-Left,High,US,High,fairvote.org
Faith Family America,https://mediabiasfactcheck.com/faith-family-america,Center-Right,Mixed,US,Medium,faithfamilyamerica.com
FaithIt,https://mediabiasfactcheck.com/faithit,Conspiracy-Pseudoscience,Mixed,US,Low,faithit.com
FaithWire,https://mediabiasfactcheck.com/faithwire,Right,Mixed,US,Medium,faithwire.com
Fake Hate Crimes,https://mediabiasfactcheck.com/fake-hate-crimes,Right,Mixed,US,Medium,fakehatecrimes.org
Family Research Council,https://mediabiasfactcheck.com/family-research-council,Questionable,Low,US,Low,frc.org
Family Security Matters,https://mediabiasfactcheck.com/family-security-matters,Right,Mixed,US,Medium,familysecuritymatters.org
Family Survival Headlines,https://mediabiasfactcheck.com/family-survival-headlines,Questionable,Mixed,US,Low,familysurvivalheadlines.com
Far Left Watch,https://mediabiasfactcheck.com/far-left-watch,Right,Mixed,US,Medium,farleftwatch.com
FARK.com,https://mediabiasfactcheck.com/fark-com-bias,Satire,,US,,fark.com
Dissident Mag,https://mediabiasfactcheck.com/fash-the-nation,Questionable,Very Low,US,Low,dissident-mag.com
Fast Company,https://mediabiasfactcheck.com/fast-company-magazine,Center-Left,High,US,High,fastcompany.com
Fayetteville Observer,https://mediabiasfactcheck.com/fayetteville-observer,Center,High,US,High,fayobserver.com
Fayetteville Standard,https://mediabiasfactcheck.com/fayetteville-standard,Questionable,Mixed,US,Low,fayettevillestandard.com
FDD's Long War Journal,https://mediabiasfactcheck.com/fdds-long-war-journal,Center-Right,High,US,High,longwarjournal.org
Federal News Network,https://mediabiasfactcheck.com/federal-news-radio,Center,High,US,High,federalnewsnetwork.com
Federal Times,https://mediabiasfactcheck.com/federal-times,Center,High,US,High,federaltimes.com
Federalist Press,https://mediabiasfactcheck.com/federalist-press,Questionable,Mixed,US,Low,federalistpress.com
Federalist Society,https://mediabiasfactcheck.com/federalist-society,Right,Mixed,US,Medium,fedsoc.org
Federalist Tribune,https://mediabiasfactcheck.com/federalist-tribune,Questionable,Mixed,US,Low,thefederalist.com
Federation of American Scientists,https://mediabiasfactcheck.com/federation-of-american-scientists-fas,Pro-Science,High,US,High,fas.org
Fellowship of the Minds,https://mediabiasfactcheck.com/fellowship-of-the-minds,Conspiracy-Pseudoscience,Low,US,Low,fellowshipoftheminds.com
Femalista,https://mediabiasfactcheck.com/femalista,Questionable,Mixed,US,Low,femalista.com
Feminist Current,https://mediabiasfactcheck.com/feminist-current,Left,Mixed,US,Medium,feministcurrent.com
Feministing,https://mediabiasfactcheck.com/feministing,Left,Mixed,US,Medium,feministing.com
Fifth Column News,https://mediabiasfactcheck.com/fifth-column-news,Left,Mixed,US,Medium,thefifthcolumnnews.com
Fifth Estate,https://mediabiasfactcheck.com/fifth-estate,Left,High,US,High,fifthestate.org
Fight for the Future,https://mediabiasfactcheck.com/fight-for-the-future,Center-Left,High,US,High,fightforthefuture.org
Filming Cops,https://mediabiasfactcheck.com/filming-cops,Questionable,Mixed,US,Low,filmingcops.com
Firearms News,https://mediabiasfactcheck.com/firearms-news,Center-Right,Mostly Factual,US,High,firearmsnews.com
Firefighters for 9/11 Unity and Truth,https://mediabiasfactcheck.com/firefighters-for-9-11-truth-and-unity,Conspiracy-Pseudoscience,Mixed,US,Low,ff911truthandunity.org
First Coast News,https://mediabiasfactcheck.com/first-coast-news,Center,High,US,High,firstcoastnews.com
First Draft News,https://mediabiasfactcheck.com/first-draft-news,Center,High,US,High,firstdraftnews.org
First in Freedom Daily,https://mediabiasfactcheck.com/first-freedom-daily,Questionable,Mixed,US,Low,firstinfreedomdaily.com
First State Times,https://mediabiasfactcheck.com/first-state-times,Questionable,Mixed,US,Low,firststatetimes.com
First Things Magazine,https://mediabiasfactcheck.com/first-things-magazine,Right,Mixed,US,Medium,firstthings.com
Fitch Ratings,https://mediabiasfactcheck.com/fitch-ratings,Center-Right,High,US,High,fitchratings.com
FitsNews,https://mediabiasfactcheck.com/fitsnews,Center-Right,Mostly Factual,US,Medium,fitsnews.com
FivethirtyEight,https://mediabiasfactcheck.com/fivethirtyeight,Center-Left,High,US,High,fivethirtyeight.com
Flag & Cross,https://mediabiasfactcheck.com/flag-cross,Questionable,Mixed,US,Low,flagandcross.com
Flake News,https://mediabiasfactcheck.com/flake-news,Satire,,US,,flake.news
Florida Politics,https://mediabiasfactcheck.com/florida-politics,Center,High,US,High,floridapolitics.com
Florida Sun-Post,https://mediabiasfactcheck.com/florida-sun-post,Questionable,Very Low,US,Low,floridasunpost.com
Florida Times Union,https://mediabiasfactcheck.com/florida-times-union,Center,High,US,High,jacksonville.com
FM Observer,https://mediabiasfactcheck.com/fm-observer,Satire,,US,,fmobserver.com
Focus on the Family,https://mediabiasfactcheck.com/focus-on-the-family,Questionable,Low,US,Low,focusonthefamily.com
Food and Water Watch,https://mediabiasfactcheck.com/food-and-water-watch,Left,Mixed,US,Medium,foodandwaterwatch.org
Food Babe,https://mediabiasfactcheck.com/food-babe,Conspiracy-Pseudoscience,Mixed,US,Low,foodbabe.com
Food.News,https://mediabiasfactcheck.com/food-news,Conspiracy-Pseudoscience,Very Low,US,Low,food.news
For the Right News,https://mediabiasfactcheck.com/for-the-right-news,Questionable,Low,US,Low,conservativeglobe.com
Forbes,https://mediabiasfactcheck.com/forbes,Center-Right,Mostly Factual,US,High,forbes.com
Foreign Affairs,https://mediabiasfactcheck.com/foreign-affairs,Center,High,US,High,foreignaffairs.com
Foreign Policy,https://mediabiasfactcheck.com/foreign-policy,Center,High,US,High,foreignpolicy.com
Foreign Policy in Focus,https://mediabiasfactcheck.com/foreign-policy-focus,Center-Left,High,US,High,fpif.org
Foreign Policy Initiative,https://mediabiasfactcheck.com/foreign-policy-initiative,Questionable,Mixed,US,Low,foreignpolicyi.org
Foreign Policy Journal,https://mediabiasfactcheck.com/foreign-policy-journal,Left,Mixed,US,Medium,foreignpolicyjournal.com
Foreign Policy News,https://mediabiasfactcheck.com/foreign-policy-news,Left,Mixed,US,Medium,foreignpolicynews.org
Foreign Policy Research Institute,https://mediabiasfactcheck.com/foreign-policy-research-institute,Center-Right,High,US,High,fpri.org
Forever Conscious,https://mediabiasfactcheck.com/forever-conscious,Conspiracy-Pseudoscience,Low,US,Low,foreverconscious.com
Fort Bend Herald,https://mediabiasfactcheck.com/fort-bend-herald,Center-Right,High,US,High,fbherald.com
Fort Dodge Messenger,https://mediabiasfactcheck.com/forty-dodge-messenger-bias,Center,High,US,High,messengernews.net
Fort Myers News-Press,https://mediabiasfactcheck.com/fort-myers-news-press,Center-Left,High,US,High,news-press.com
Fort Smith Times,https://mediabiasfactcheck.com/fort-smith-times,Questionable,Mixed,US,Low,fortsmithtimes.com
Fort Worth Star-Telegram,https://mediabiasfactcheck.com/star-telegram,Center-Right,High,US,High,star-telegram.com
Fort Worth Weekly,https://mediabiasfactcheck.com/fort-worth-weekly,Center-Left,High,US,High,fwweekly.com
Fortune Magazine,https://mediabiasfactcheck.com/fortune-magazine,Center-Right,High,US,High,fortune.com
Forward Progressives,https://mediabiasfactcheck.com/forward-progressives,Left,High,US,High,forwardprogressives.com
Foster's Daily Democrat,https://mediabiasfactcheck.com/fosters-daily-democrat,Center,High,US,High,fosters.com
Foundation for Defense of Democracies,https://mediabiasfactcheck.com/foundation-defense-democracies,Right,Mostly Factual,US,Medium,fdd.org
Foundation for Economic Education,https://mediabiasfactcheck.com/foundation-for-economic-education,Center-Right,Mostly Factual,US,High,fee.org
FourstatesHomepage.com,https://mediabiasfactcheck.com/fourstateshomepage-com,Center,High,US,High,fourstateshomepage.com
Fox Business,https://mediabiasfactcheck.com/fox-business,Center-Right,Mixed,US,Medium,foxbusiness.com
Fox News,https://mediabiasfactcheck.com/fox-news,Questionable,Mixed,US,Low,foxnews.com
Foxillinois.com (WRSP - WCCU,https://mediabiasfactcheck.com/foxillinois-com-wrsp-wccu,Center-Right,High,US,High,foxillinois.com
Frank Speech,https://mediabiasfactcheck.com/frank-speech-mike-lindell,Questionable,Very Low,US,Low,frankspeech.com
Franklin Daily Journal,https://mediabiasfactcheck.com/franklin-daily-journal-bias,Center-Right,High,US,High,dailyjournal.net
Franklin News Foundation,https://mediabiasfactcheck.com/franklin-center-for-government-and-public-integrity,Center-Right,Mixed,US,Medium,franklinnews.org
Freakonomics,https://mediabiasfactcheck.com/freakonomics-radio,Center-Left,High,US,High,freakonomics.com
Fredericksburg Free Lance Star,https://mediabiasfactcheck.com/fredericksburg-free-lance-star-bias,Center,High,US,High,fredericksburg.com
Free Republic,https://mediabiasfactcheck.com/free-republic,Right,Mixed,US,Medium,freerepublic.com
Free Thought Project,https://mediabiasfactcheck.com/free-thought-project,Conspiracy-Pseudoscience,Low,US,Low,thefreethoughtproject.com
Free Wheel Media,https://mediabiasfactcheck.com/free-wheel-media,Center,High,US,High,freewheelus.com
Free Wood Post,https://mediabiasfactcheck.com/free-wood-post,Satire,,US,,freewoodpost.com
Freedom Advocates,https://mediabiasfactcheck.com/freedom-advocates-agenda-21,Conspiracy-Pseudoscience,Low,US,Low,freedomadvocates.org
Freedom Alliance,https://mediabiasfactcheck.com/freedom-alliance-bias-rating,Center-Right,High,US,High,freedomalliance.org
Freedom Cross Roads,https://mediabiasfactcheck.com/freedom-crossroads,Right,Mixed,US,Medium,freedomcrossroads.com
Freedom Fictions,https://mediabiasfactcheck.com/freedom-fictions,Satire,,US,,freedomfictions.com
Freedom First Network,https://mediabiasfactcheck.com/freedom-first-network,Questionable,Low,US,Low,freedomfirstnetwork.com
Freedom From Religion Foundation,https://mediabiasfactcheck.com/freedom-religion-foundation-ffrf,Left,Mixed,US,Medium,ffrf.org
Freedom House,https://mediabiasfactcheck.com/freedom-house,Center-Right,High,US,High,freedomhouse.org
Freedom News Report,https://mediabiasfactcheck.com/freedom-news-report,Questionable,Mixed,US,Low,freedomnewsreport.com
Freedom Outpost,https://mediabiasfactcheck.com/freedom-outpost,Questionable,Low,US,Low,freedomoutpost.com
Freedom.News,https://mediabiasfactcheck.com/freedom-news,Conspiracy-Pseudoscience,Very Low,US,Low,freedom.news
Freedomain Radio,https://mediabiasfactcheck.com/freedomain-radio,Conspiracy-Pseudoscience,Low,US,Low,freedomainradio.com
FreedomProject Media,https://mediabiasfactcheck.com/freedomproject-media,Questionable,Low,US,Low,freedomproject.com
FreedomWorks,https://mediabiasfactcheck.com/freedom-works,Right,Mixed,US,Medium,freedomworks.org
FreePress.net,https://mediabiasfactcheck.com/free-press,Center-Left,High,US,High,freepress.net
FreePress.org,https://mediabiasfactcheck.com/free-press-2,Left,Mostly Factual,US,Medium,freepress.org
Freeworldnews.tv,https://mediabiasfactcheck.com/freeworldnews-tv,Conspiracy-Pseudoscience,Very Low,US,Low,freeworldnews.tv
Fremont Tribune,https://mediabiasfactcheck.com/fremont-tribune-bias,Center,High,US,High,fremonttribune.com
Fresh News USA,https://mediabiasfactcheck.com/fresh-news-usa,Questionable,Low,US,Low,theusa-news.com
Fresno Bee,https://mediabiasfactcheck.com/fresno-bee,Center-Left,High,US,High,fresnobee.com
Fresno Leader,https://mediabiasfactcheck.com/fresno-leader,Questionable,Mixed,US,Low,fresnoleader.com
From the Desk of Donald J. Trump,https://mediabiasfactcheck.com/donaldjtrump-com,Questionable,Low,US,Low,donaldjtrump.com
From the Trenches World Report,https://mediabiasfactcheck.com/from-the-trenches-world-report,Conspiracy-Pseudoscience,Low,US,Low,fromthetrenchesworldreport.com
Front Line COVID-19 Critical Care Alliance (FLCCC,https://mediabiasfactcheck.com/front-line-covid-19-critical-care-alliance-flccc-bias,Conspiracy-Pseudoscience,Low,US,Low,covid19criticalcare.com
Front Page Live,https://mediabiasfactcheck.com/front-page-live,Left,Mostly Factual,US,High,frontpageslive.com
Frontiers of Freedom,https://mediabiasfactcheck.com/frontiers-of-freedom,Right,Mixed,US,Medium,ff.org
FrontPage Magazine,https://mediabiasfactcheck.com/frontpage-magazine,Questionable,Low,US,Low,frontpagemag.com
FSTv (Freespeech.org,https://mediabiasfactcheck.com/fstv-freespeech-org,Left,Mixed,US,Medium,freespeech.org
Ft Wayne Times,https://mediabiasfactcheck.com/ft-wayne-times-bias,Questionable,Mixed,US,Low,ftwaynetimes.com
Fulton County Expositor,https://mediabiasfactcheck.com/fulton-county-expositor-bias,Center-Right,High,US,High,fcnews.org
Fusion,https://mediabiasfactcheck.com/fusion,Center-Left,High,US,High,fusion.net
Future in America,https://mediabiasfactcheck.com/future-in-america,Right,Mixed,US,Medium,ourfutureinamerica.org
Future of Freedom Foundation (FFF,https://mediabiasfactcheck.com/future-of-freedom-foundation-fff,Right,Mixed,US,Medium,fff.org
Futurism,https://mediabiasfactcheck.com/futurism,Pro-Science,Mostly Factual,US,High,futurism.com
FWD Now,https://mediabiasfactcheck.com/fwd-now,Questionable,Mixed,US,Low,fwdnow.com
Gadsden Times,https://mediabiasfactcheck.com/gadsden-times-bias,Center-Left,High,US,High,gadsdentimes.com
Gadsden Today,https://mediabiasfactcheck.com/gadsden-today,Questionable,Mixed,US,Low,gadsdentoday.com
Gaia,https://mediabiasfactcheck.com/gaia,Conspiracy-Pseudoscience,Low,US,Low,gaia.com
Gainesville Sun,https://mediabiasfactcheck.com/gainesville-sun,Center-Left,High,US,High,gainesville.com
Galesburg Reporter,https://mediabiasfactcheck.com/galesburg-reporter,Questionable,Mixed,US,Low,galesburgreporter.com
Gallipolis Daily Tribune,https://mediabiasfactcheck.com/gallipolis-daily-tribune-bias,Center-Right,High,US,High,mydailytribune.com
Gallup,https://mediabiasfactcheck.com/gallup,Center,Mostly Factual,US,High,gallup.com
Galveston County Daily News,https://mediabiasfactcheck.com/galveston-county-daily-news-bias,Center-Right,High,US,High,galvnews.com
Gatestone Institute,https://mediabiasfactcheck.com/gatestone-institute,Questionable,Mixed,US,Low,gatestoneinstitute.org
Gawker,https://mediabiasfactcheck.com/gawker-bias,Left,Mostly Factual,US,Medium,gawker.com
Gay City News,https://mediabiasfactcheck.com/gay-city-news-bias,Left,High,US,High,gaycitynews.com
Gears of Biz,https://mediabiasfactcheck.com/gears-of-biz,Center,High,US,High,gearsofbiz.com
Geek.com,https://mediabiasfactcheck.com/geek-com,Center,High,US,High,geek.com
Geller Report,https://mediabiasfactcheck.com/geller-report,Questionable,Low,US,Low,gellerreport.com
Gem State Wire,https://mediabiasfactcheck.com/gem-state-wire,Questionable,Mixed,US,Low,gemstatewire.com
Gen Z Conservative,https://mediabiasfactcheck.com/gen-z-conservative,Questionable,Mixed,US,Low,genzconservative.com
Gender.news,https://mediabiasfactcheck.com/gender-news-bias,Conspiracy-Pseudoscience,Very Low,US,Low,gender.news
Genesius Times,https://mediabiasfactcheck.com/genesius-times,Satire,,US,,genesiustimes.com
Genetic Engineering and Biotechnology News (GEN,https://mediabiasfactcheck.com/genetic-engineering-and-biotechnology-news-gen,Pro-Science,High,US,High,genengnews.com
Genetic Literacy Project,https://mediabiasfactcheck.com/genetic-literacy-project,Pro-Science,High,US,High,geneticliteracyproject.org
GeoEngineering Watch,https://mediabiasfactcheck.com/geoengineering-watch,Conspiracy-Pseudoscience,Low,US,Low,geoengineeringwatch.org
Geoengineering.News,https://mediabiasfactcheck.com/geoengineering-news,Conspiracy-Pseudoscience,Very Low,US,Low,geoengineering.news
Geology In,https://mediabiasfactcheck.com/geology-in,Questionable,Mixed,US,Low,geologyin.com
Geopolitics Alert,https://mediabiasfactcheck.com/geopolitics-alert,Left,Mixed,US,Medium,geopoliticsalert.com
Georgia Mountain News,https://mediabiasfactcheck.com/georgia-mountain-news,Questionable,Mixed,US,Low,georgiamountainnews.com
Get Religion,https://mediabiasfactcheck.com/get-religion,Right,Mostly Factual,US,Medium,getreligion.org
GETTR,https://mediabiasfactcheck.com/gettr,Questionable,Low,US,Low,gettr.com
Ghost.Report,https://mediabiasfactcheck.com/ghost-report,Questionable,Mixed,US,Low,ghost.report
Girls Just Wanna Have guns,https://mediabiasfactcheck.com/girls-just-wanna-have-guns,Questionable,Low,US,Low,girlsjustwannahaveguns.com
Gish Gallop,https://mediabiasfactcheck.com/gish-gallop,Satire,,US,,gishgallop.com
Gizmodo,https://mediabiasfactcheck.com/gizmodo,Left,High,US,High,gizmodo.com
GLAAD,https://mediabiasfactcheck.com/glaad,Left,High,US,High,glaad.org
Glamour Magazine,https://mediabiasfactcheck.com/glamour-magazine,Center-Left,High,US,High,glamour.com
Glenwood Springs Post Independent,https://mediabiasfactcheck.com/glenwood-springs-post-independent-bias,Center,High,US,High,postindependent.com
Glitch.News,https://mediabiasfactcheck.com/glitch-news,Conspiracy-Pseudoscience,Very Low,US,Low,glitch.news
Global Citizen,https://mediabiasfactcheck.com/global-citizen,Center-Left,High,US,High,globalcitizen.org
Global Healing Center,https://mediabiasfactcheck.com/global-healing-center,Conspiracy-Pseudoscience,Mixed,US,Low,globalhealingcenter.com
Global Integrity,https://mediabiasfactcheck.com/global-integrity,Center,High,US,High,globalintegrity.org
Global Real News,https://mediabiasfactcheck.com/global-real-news,Center-Left,Mixed,US,Low,globalrealnews.com
Global Skywatch,https://mediabiasfactcheck.com/global-skywatch,Conspiracy-Pseudoscience,Low,US,Low,globalskywatch.com
Global Voices,https://mediabiasfactcheck.com/global-voices,Left,High,US,High,globalvoices.org
GlobalPost,https://mediabiasfactcheck.com/global-post,Center-Left,High,US,High,theworld.org/programs/globalpost
Globe Gazette (Iowa,https://mediabiasfactcheck.com/globe-gazette-iowa,Center,High,US,High,globegazette.com
GMO Watch,https://mediabiasfactcheck.com/gmo-watch-bias,Conspiracy-Pseudoscience,Mixed,US,Low,gmowatch.com
GMO.News,https://mediabiasfactcheck.com/gmo-news,Conspiracy-Pseudoscience,Very Low,US,Low,gmo.news
Gnews,https://mediabiasfactcheck.com/gnews,Questionable,Low,US,Low,gnews.org
GOD Good Lord Above,https://mediabiasfactcheck.com/god-good-lord-above,Questionable,Mixed,US,Low,thegoodlordabove.com
Godfather Politics,https://mediabiasfactcheck.com/godfather-politics,Questionable,Mixed,US,Low,godfatherpolitics.com
Gold Country Today,https://mediabiasfactcheck.com/gold-country-today,Questionable,Mixed,US,Low,goldcountrytoday.com
Golden State Today,https://mediabiasfactcheck.com/golden-state-today,Questionable,Mixed,US,Low,goldenstatetoday.com
Gomer Blog,https://mediabiasfactcheck.com/gomer-blog,Satire,,US,,gomerblog.com
Good Magazine,https://mediabiasfactcheck.com/good-magazine,Left,High,US,High,good.is
GoodGopher,https://mediabiasfactcheck.com/goodgopher,Questionable,Very Low,US,Low,goodgopher.com
GoodNewsNetwork,https://mediabiasfactcheck.com/goodnewsnetwork,Center,High,US,High,goodnewsnetwork.org
Google News,https://mediabiasfactcheck.com/google-news,Center-Left,Mostly Factual,US,High,news.google.com
Goop.com,https://mediabiasfactcheck.com/goop,Conspiracy-Pseudoscience,Low,US,Low,goop.com
GOP Daily Brief,https://mediabiasfactcheck.com/gop-daily-brief-bias,Questionable,Mixed,US,Low,gopdailybrief.com
GOP Watchdog,https://mediabiasfactcheck.com/gop-watchdog,Questionable,Low,US,Low,thegopwatchdog.com
Republican National Committee GOP.com,https://mediabiasfactcheck.com/gop-gov-house-republicans,Questionable,Mixed,US,Low,gop.com
GOPOCALPYSE,https://mediabiasfactcheck.com/gopocalypse,Left,Mixed,US,Medium,gopocalypse.org
GOPUSA,https://mediabiasfactcheck.com/gopusa,Questionable,Mixed,US,Low,gopusa.com
Got Questions,https://mediabiasfactcheck.com/got-questions-gotquestions-org,Conspiracy-Pseudoscience,Low,US,Low,gotquestions.org
Gothamist,https://mediabiasfactcheck.com/gothamist,Center-Left,High,US,High,gothamist.com
GotNews,https://mediabiasfactcheck.com/gotnews,Questionable,Low,US,Low,gotnews.com
Governing Magazine,https://mediabiasfactcheck.com/governing-magazine,Center-Left,High,US,High,governing.com
Government Accountability Office (GAO,https://mediabiasfactcheck.com/us-government-accountability-office-gao,Center,High,US,High,gao.gov
Government Accountability Project (GAP,https://mediabiasfactcheck.com/government-accountability-project-gap,Center-Left,High,US,High,whistleblower.org
Government Accountablity Institute,https://mediabiasfactcheck.com/government-accountability-institute,Right,Mixed,US,Medium,g-a-i.org
Government Executive,https://mediabiasfactcheck.com/government-executive,Center-Left,High,US,High,govexec.com
Government Slaves,https://mediabiasfactcheck.com/government-slaves,Conspiracy-Pseudoscience,Low,US,Low,govtslaves.com
GovTrack,https://mediabiasfactcheck.com/govtrack,Center,High,US,High,govtrack.us
GQ Magazine,https://mediabiasfactcheck.com/gq-magazine,Left,High,US,High,gq.com
Grabien News,https://mediabiasfactcheck.com/grabien-news,Right,Mixed,US,Medium,news.grabien.com
Grand Canyon Times,https://mediabiasfactcheck.com/grand-canyon-times,Questionable,Mixed,US,Low,grandcanyontimes.com
Grand Island Independent,https://mediabiasfactcheck.com/grand-island-independent-bias,Center,High,US,High,theindependent.com
Grand Junction Times,https://mediabiasfactcheck.com/grand-junction-times,Questionable,Mixed,US,Low,grandjunctiontimes.com
Grand Rapids Press,https://mediabiasfactcheck.com/grand-rapids-press,Center-Right,High,US,High,mlive.com/grand-rapids-muskegon
Grasping Reality With Both Hands: Bradford Delong,https://mediabiasfactcheck.com/grasping-reality-hands-bradford-delong,Left,High,US,High,bradford-delong.com
Great American Daily,https://mediabiasfactcheck.com/great-american-daily,Questionable,Low,US,Low,greatamericandaily.com
Great American Politics,https://mediabiasfactcheck.com/great-american-politics,Right,Mixed,US,Medium,greatamericanpolitics.com
Great American Republic,https://mediabiasfactcheck.com/great-american-republic-bias-credibility-fake-news,Questionable,Low,US,Low,greatamericanrepublic.com
Great Falls Tribune,https://mediabiasfactcheck.com/great-falls-tribune,Center,High,US,High,greatfallstribune.com
Greeley Tribune,https://mediabiasfactcheck.com/greeley-tribune,Center-Right,High,US,High,greeleytribune.com
Green Bay Press-Gazette,https://mediabiasfactcheck.com/green-bay-press-gazette,Center,High,US,High,greenbaypressgazette.com
Greenfield Daily Reporter,https://mediabiasfactcheck.com/greenfield-daily-reporter-bias,Center-Right,High,US,High,greenfieldreporter.com
GreenMedInfo,https://mediabiasfactcheck.com/greenmedinfo,Conspiracy-Pseudoscience,Low,US,Low,greenmedinfo.com
Greensboro News and Record,https://mediabiasfactcheck.com/greensboro-news-and-record,Center-Left,High,US,High,greensboro.com
Greentech Media,https://mediabiasfactcheck.com/greentech-media,Center-Left,High,US,High,greentechmedia.com
Greenville Daily Advocate,https://mediabiasfactcheck.com/greenville-daily-advocate-bias,Center-Right,High,US,High,dailyadvocate.com
Greenville Gazette,https://mediabiasfactcheck.com/greenville-gazette,Left,Mixed,US,Medium,greenvillegazette.com
Greenville News,https://mediabiasfactcheck.com/greenville-news,Center,High,US,High,greenvilleonline.com
Grid News,https://mediabiasfactcheck.com/grid-news,Center-Left,High,US,High,grid.news
Grist,https://mediabiasfactcheck.com/grist,Center-Left,High,US,High,grist.org
Grit Post,https://mediabiasfactcheck.com/grit-post,Left,High,US,High,gritpost.com
Groopspeak,https://mediabiasfactcheck.com/groopspeak,Left,Mixed,US,Medium,news.groopspeak.com
Group of Thirty,https://mediabiasfactcheck.com/group-of-thirty,Center,High,US,High,group30.org
Grundy Reporter,https://mediabiasfactcheck.com/grundy-reporter-bias,Questionable,Mixed,US,Low,grundyreporter.com
Grunge.com,https://mediabiasfactcheck.com/grunge,Questionable,Mixed,US,Low,grunge.com
Guardian Liberty Voice,https://mediabiasfactcheck.com/guardian-liberty-voice,Left,Mostly Factual,US,Medium,guardianlv.com
Guardians of Democracy,https://mediabiasfactcheck.com/guardians-of-democracy,Left,Mixed,US,Medium,theguardiansofdemocracy.com
Gucmakale.com,https://mediabiasfactcheck.com/gucmakale-com,Questionable,Mixed,US,Low,gucmakale.com
Guerrilla News,https://mediabiasfactcheck.com/guerrilla-news,Right,Mixed,US,Medium,guerrilla.news
Gulag Bound,https://mediabiasfactcheck.com/gulag-bound,Conspiracy-Pseudoscience,Low,US,Low,gulagbound.com
Gun Violence Archive,https://mediabiasfactcheck.com/gun-violence-archive,Center-Left,High,US,High,gunviolencearchive.org
Guns.com,https://mediabiasfactcheck.com/guns-com,Center-Right,High,US,High,guns.com
HAARP.net,https://mediabiasfactcheck.com/haarp-net,Conspiracy-Pseudoscience,Low,US,Low,haarp.net
